country_code,indicator_code,year,value
BEN,GDP_GROWTH,2024,7.45311566226201
BEN,GDP_GROWTH,2023,6.3527773854442
BEN,GDP_GROWTH,2022,6.25294705373625
BEN,GDP_GROWTH,2021,7.1554516457574
BEN,GDP_GROWTH,2020,3.84879240030133
BEN,GDP_PC,2024,1485.38018885134
BEN,GDP_PC,2023,1394.17784721831
BEN,GDP_PC,2022,1266.42711031904
BEN,GDP_PC,2021,1318.65158075198
BEN,GDP_PC,2020,1200.19426557789
BEN,INFLATION,2024,1.16093089640415
BEN,INFLATION,2023,2.73870078406075
BEN,INFLATION,2022,1.35077863583527
BEN,INFLATION,2021,1.73353962694036
BEN,INFLATION,2020,3.02272119663759
BEN,UNEMPLOYMENT,2024,1.637
BEN,UNEMPLOYMENT,2023,1.641
BEN,UNEMPLOYMENT,2022,1.685
BEN,UNEMPLOYMENT,2021,1.833
BEN,UNEMPLOYMENT,2020,1.518
BEN,GOV_DEBT,2024,
BEN,GOV_DEBT,2023,
BEN,GOV_DEBT,2022,
BEN,GOV_DEBT,2021,
BEN,GOV_DEBT,2020,
BEN,FDI,2024,543007400.0
BEN,FDI,2023,442960064.385834
BEN,FDI,2022,375988902.223793
BEN,FDI,2021,345985235.680029
BEN,FDI,2020,174019952.06305
BEN,EXPORTS,2024,4047363784.45537
BEN,EXPORTS,2023,3935350521.8556
BEN,EXPORTS,2022,3627155581.76734
BEN,EXPORTS,2021,3700039683.35829
BEN,EXPORTS,2020,3117343141.94693
BEN,IMPORTS,2024,4683140133.79221
BEN,IMPORTS,2023,4851357175.5354
BEN,IMPORTS,2022,4106516764.69897
BEN,IMPORTS,2021,4799723188.71051
BEN,IMPORTS,2020,3915530456.1048
BEN,CURRENT_ACCOUNT,2024,
BEN,CURRENT_ACCOUNT,2023,-8.17628006592928
BEN,CURRENT_ACCOUNT,2022,-5.68712530548324
BEN,CURRENT_ACCOUNT,2021,-4.15352071063382
BEN,CURRENT_ACCOUNT,2020,-1.74648575797682
BEN,POPULATION,2024,14462724.0
BEN,POPULATION,2023,14111034.0
BEN,POPULATION,2022,13759501.0
BEN,POPULATION,2021,13413417.0
BEN,POPULATION,2020,13070169.0
BFA,GDP_GROWTH,2024,4.83395810163883
BFA,GDP_GROWTH,2023,3.00027415814125
BFA,GDP_GROWTH,2022,1.62673258211919
BFA,GDP_GROWTH,2021,6.94252492572348
BFA,GDP_GROWTH,2020,2.01077262406221
BFA,GDP_PC,2024,982.493100418428
BFA,GDP_PC,2023,873.198061670247
BFA,GDP_PC,2022,827.330843486661
BFA,GDP_PC,2021,895.535288442991
BFA,GDP_PC,2020,825.237038782475
BFA,INFLATION,2024,4.19081721344523
BFA,INFLATION,2023,0.742910428668918
BFA,INFLATION,2022,14.2902354303358
BFA,INFLATION,2021,3.65326761825509
BFA,INFLATION,2020,1.88470066518847
BFA,UNEMPLOYMENT,2024,3.441
BFA,UNEMPLOYMENT,2023,3.601
BFA,UNEMPLOYMENT,2022,3.828
BFA,UNEMPLOYMENT,2021,4.511
BFA,UNEMPLOYMENT,2020,4.59
BFA,GOV_DEBT,2024,64.1848911988902
BFA,GOV_DEBT,2023,61.9522242117801
BFA,GOV_DEBT,2022,63.1897248087734
BFA,GOV_DEBT,2021,55.5822235545459
BFA,GOV_DEBT,2020,73.3851925518101
BFA,FDI,2024,-202224388.094201
BFA,FDI,2023,109438755.395966
BFA,FDI,2022,669738240.850164
BFA,FDI,2021,-79957355.3390048
BFA,FDI,2020,-98777856.0144418
BFA,EXPORTS,2024,6608822103.86993
BFA,EXPORTS,2023,5820589716.51653
BFA,EXPORTS,2022,5813561183.39553
BFA,EXPORTS,2021,6460208896.64941
BFA,EXPORTS,2020,5632452790.61293
BFA,IMPORTS,2024,7387126425.77464
BFA,IMPORTS,2023,6877000995.68104
BFA,IMPORTS,2022,6760351772.06807
BFA,IMPORTS,2021,5835051415.32522
BFA,IMPORTS,2020,5133679370.81792
BFA,CURRENT_ACCOUNT,2024,-3.96877055984497
BFA,CURRENT_ACCOUNT,2023,-5.05911958154004
BFA,CURRENT_ACCOUNT,2022,-7.53912115376433
BFA,CURRENT_ACCOUNT,2021,0.392208859644244
BFA,CURRENT_ACCOUNT,2020,4.1931251239965
BFA,POPULATION,2024,23548781.0
BFA,POPULATION,2023,23025776.0
BFA,POPULATION,2022,22509038.0
BFA,POPULATION,2021,21995243.0
BFA,POPULATION,2020,21478690.0
CIV,GDP_GROWTH,2024,6.0195346193922
CIV,GDP_GROWTH,2023,6.60000045209176
CIV,GDP_GROWTH,2022,6.39988362730921
CIV,GDP_GROWTH,2021,7.06253713446816
CIV,GDP_GROWTH,2020,0.699728593494228
CIV,GDP_PC,2024,2727.8935220697
CIV,GDP_PC,2023,2591.9659048119
CIV,GDP_PC,2022,2333.37128301259
CIV,GDP_PC,2021,2455.98127641148
CIV,GDP_PC,2020,2179.72934832935
CIV,INFLATION,2024,3.45053028131019
CIV,INFLATION,2023,4.36972254867474
